Country Name,Country Code,Series Name,Series Code,2022 [YR2022],,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.5508017539978,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Prevalence of overweight (% of adults),SH.STA.OWAD.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.27180624008179,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.65844225883484,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
